name,type1id,type2id,speciesid,height,weight,abilities1id,abilities2id,abilities3id,evYield,catchRate,baseFriendship,baseExp,growthRate,eggGroups1id,eggGroups2id,gender,eggCycles,hpBase,hpMin,hpMax,attackBase,attackMin,attackMax,defenseBase,defenseMin,defenseMax,specialAttackBase,specialAttackMin,specialAttackMax,specialDefenseBase,specialDefenseMin,specialDefenseMax,speedBase,speedMin,speedMax
Abomasnow,10,12,1,2.2 m (7′03″),135.5 kg (298.7 lbs),339,346,,"1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",50 (normal),173,Slow,9,12,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,92,170,311,75,139,273,92,170,311,85,157,295,60,112,240
Mega Abomasnow,10,12,1,2.7 m (8′10″),185.0 kg (407.9 lbs),339,,,"1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",50 (normal),208,Slow,9,12,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,132,242,399,105,193,339,132,242,399,105,193,339,30,58,174
Abra,15,,2,0.9 m (2′11″),19.5 kg (43.0 lbs),385,160,193,1 Sp. Atk,"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,10,,"75% male, 25% female","20 (4,884–5,140 steps)",25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306
Absol,2,,3,1.2 m (3′11″),47.0 kg (103.6 lbs),259,372,171,2 Attack,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),163,Medium Slow,7,,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273
Mega Absol,2,,3,1.2 m (3′11″),49.0 kg (108.0 lbs),190,,,2 Attack,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),198,Medium Slow,7,,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,150,274,438,60,112,240,115,211,361,60,112,240,115,211,361
Accelgor,1,,4,0.8 m (2′07″),25.3 kg (55.8 lbs),145,364,418,2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,3,,"50% male, 50% female","15 (3,599–3,855 steps)",80,270,364,70,130,262,40,76,196,100,184,328,60,112,240,145,265,427
Aegislash Shield Forme,17,9,5,1.7 m (5′07″),53.0 kg (116.8 lbs),354,,,"2 Defense, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,11,,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,140,256,416,50,94,218,140,256,416,60,112,240
Aegislash Blade Forme,17,9,5,1.7 m (5′07″),53.0 kg (116.8 lbs),354,,,"2 Attack, 1 Sp. Atk","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,11,,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,140,256,416,50,94,218,140,256,416,50,94,218,60,112,240
Aerodactyl,16,8,6,1.8 m (5′11″),59.0 kg (130.1 lbs),290,259,420,2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),180,Slow,8,,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,105,193,339,65,121,251,60,112,240,75,139,273,130,238,394
Mega Aerodactyl,16,8,6,2.1 m (6′11″),79.0 kg (174.2 lbs),405,,,2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),215,Slow,8,,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,135,247,405,85,157,295,70,130,262,95,175,317,150,274,438
Aggron,17,16,7,2.1 m (6′11″),360.0 kg (793.7 lbs),369,290,136,3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,12,,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218
